-------------------
name = red_force_hidden
	|_name = shanks_legendary
		|_name = shanks_rare
			|_name = buggy_special
				|_name:buggy_common
				|_name:buggy_common
				|_name:buggy_common
			|_name = usopp_flame_special
				|_name = sogeking_uncommon
					|_name:usopp_common'C'
					|_name:usopp_common'C'
				|_name = sogeking_uncommon
					|_name:usopp_common'C'
					|_name:usopp_common'C'
			|_name = luffy_special
				|_name:luffy_common
				|_name:luffy_common
				|_name:luffy_common
		|_name = ben_beckman_rare
			|_name = usopp_flame_special
				|_name = sogeking_uncommon
					|_name:usopp_common'C'
					|_name:usopp_common'C'
				|_name = sogeking_uncommon
					|_name:usopp_common'C'
					|_name:usopp_common'C'
			|_name = smoker_special
				|_name:gunman_common
				|_name = tashigi_uncommon
					|_name:swordsman_common'C'
					|_name:gunman_common'C'
				|_name:swordsman_common
			|_name = enel_special
				|_name = sogeking_uncommon
					|_name:usopp_common'C'
					|_name:usopp_common'C'
				|_name = bepo_uncommon
					|_name:chopper_common'C'
					|_name:luffy_common'C'
				|_name:sanji_common
		|_name = sanji_rare
			|_name = sanji_special
				|_name:sanji_common
				|_name:sanji_common
				|_name:sanji_common
			|_name = chopper_rumble_special
				|_name = chopper_uncommon
					|_name:chopper_common'C'
					|_name:chopper_common'C'
				|_name = inazuma_uncommon
					|_name:sanji_common'C'
					|_name:zoro_common'C'
				|_name:swordsman_common
			|_name = kid_special
				|_name = perona_uncommon
					|_name:buggy_common'C'
					|_name:nami_common'C'
				|_name = bepo_uncommon
					|_name:chopper_common'C'
					|_name:luffy_common'C'
				|_name:buggy_common
	|_name = buggy_special
		|_name:buggy_common
		|_name:buggy_common
		|_name:buggy_common
	|_name = pirate_ship

-------------------
name = baratie_hidden
	|_name = zeff_rare
		|_name = bon_clay_special
			|_name = inazuma_uncommon
				|_name:sanji_common
				|_name:zoro_common
			|_name = robin_uncommon
				|_name:nami_common
				|_name:sanji_common
			|_name:nami_common
		|_name = inazuma_special
			|_name = inazuma_uncommon
				|_name:sanji_common
				|_name:zoro_common
			|_name = inazuma_uncommon
				|_name:sanji_common
				|_name:zoro_common
		|_name = basil_hawkin_special
			|_name = perona_uncommon
				|_name:buggy_common
				|_name:nami_common
			|_name = blueno_uncommon
				|_name:gunman_common
				|_name:gunman_common
			|_name:usopp_common
	|_name = luffy_special
		|_name:luffy_common
		|_name:luffy_common
		|_name:luffy_common
	|_name = pirate_ship

-------------------
name = sunny_go_hidden
	|_name = kid_rare
		|_name = kid_special
			|_name = perona_uncommon
				|_name:buggy_common
				|_name:nami_common
			|_name = bepo_uncommon
				|_name:chopper_common
				|_name:luffy_common
			|_name:buggy_common
		|_name = nami_special
			|_name:nami_common
			|_name:nami_common
			|_name:nami_common
		|_name = killer_special
			|_name = tashigi_uncommon
				|_name:swordsman_common
				|_name:gunman_common
			|_name = brook_uncommon
				|_name:zoro_common
				|_name:chopper_common
			|_name:buggy_common
	|_name = kaku_rare
		|_name = rob_lucci_special
			|_name = fukuro_uncommon
				|_name:swordsman_common
				|_name:swordsman_common
			|_name = robin_uncommon
				|_name:nami_common
				|_name:sanji_common
			|_name:luffy_common
		|_name = chaka_special
			|_name = blueno_uncommon
				|_name:gunman_common
